"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"84418",786.165493756557,-1.81488204228958,0.505187535389394,-3.59249172862249,0.000327531053795382,0.0177787495045667
"112267855",68.6377824982179,-1.64291681575136,0.504274755481349,-3.25797950005079,0.00112208511921372,0.030234063073563
"55374",343.703893612495,-1.30668986598177,0.409946211907746,-3.18746661885445,0.00143525023848682,0.0328013501225324
"929",4781.58667533578,-2.06525681237965,0.563786853462539,-3.66318724832926,0.000249096308292368,0.0157800951575749
"5097",31.2245857412217,-2.17352701690452,0.696315966119173,-3.12146657934384,0.00179952672241927,0.0347145004329961
"5159",36.0567986867388,-1.64500646690211,0.558778496427153,-2.94393302072348,0.00324070125498672,0.0442034174743548
"6208",22253.5745208246,-1.32378895830536,0.440302636680162,-3.00654333638925,0.00264236386661634,0.0406661563868801
"79616",491.348567636086,-1.9057071216757,0.43230290284294,-4.40826815906917,1.0420048154269e-05,0.00358603307113052
"3274",762.343898149927,-1.22180291151595,0.345431740570318,-3.53703139583734,0.000404651560402381,0.0201207265963428
"105377743",21.5503572265432,-2.43467365719694,0.505934097168141,-4.81223477687018,1.49251872518955e-06,0.00122395314987456
"1212",939.761690879703,-1.30271827862,0.424416508837486,-3.06943356701242,0.00214465097491992,0.0376239980789279
"22838",1372.67310618923,-1.01906796842368,0.333597348040481,-3.0547843812596,0.00225222378195089,0.0381361074517551
"3101",1786.31383078903,-1.92141667833593,0.555901523299853,-3.45639757727291,0.000547447210952982,0.0234414042508875
"83463",900.568674450888,-1.22775663869173,0.401916731833343,-3.05475373740059,0.00225245389925745,0.0381361074517551
